"m/z","C","C","C","C","C","AVG","DM1","DM1","DM1","DM1","DM1","AVG","DM1+I","DM1+I","DM1+I","DM1+I","DM1+I","AVG"
"221.1539741","69050.2056","57261.11456","69114.52783","37789.77809","41859.00026","55014.925268000006","41309.26499","43883.97513","39034.68001","42563.91394","47016.11761","42761.590336","44995.10353","29588.76118","42409.44324","39904.55011","35550.6337","38489.698352"
"607.8867065","33555.5044","41055.12946","43013.94686","45481.81786","41000.55608","40821.390932","39327.79708","35824.70797","38684.63863","40124.62454","38949.12054","38582.177752","39930.80284","40865.53699","42735.5803","44506.61395","43971.79036","42402.064888"
"1243.78125","69264.92798","60257.23208","94055.66072","100468.5019","97322.82499","84273.82953399999","73253.1604","69176.74116","75718.00174","89933.86158","89893.74372","79595.10172","90395.14821","93258.96104","96798.25859","89855.19117","91483.03329","92358.11846"
"476.0122152","8557.981765","12272.9681","6272.761492","7555.147448","7271.742176","8386.1201962","5064.599455","8040.33838","6798.972553","5663.328466","5445.976522","6202.6430752","7430.008859","8651.545818","6533.384603","6965.339382","6943.117957","7304.6793238"
"161.0636863","17381.002992","31775.820922","16292.018752","16497.436532","16602.400702","19709.73598","14418.654542","17653.752662","18029.015652","18620.169932","14570.990302","16658.516618","16062.726352","26362.106212","19152.302322","22905.685652","19915.907012","20879.74551"
"161.0636464","7558.8197101","9929.2323501","7373.7373821","6601.6165511","6373.2778761","7567.3367739","5774.7145101","7378.7381091","8066.851092100001","8791.119942099998","5920.5826161","7186.401253899999","5955.2103931","11060.8361801","8623.9971391","9005.8515801","8047.1037341","8538.5998053"
"651.2093225","52279.33323","51791.43681","46024.90049","37923.17408","37210.38004","45045.84493","31518.56299","40010.38571","47079.42562","50781.51768","30311.91257","39940.360914","33319.20732","66312.39307","55064.73013","56426.20217","48444.82164","51913.470866"
"194.1114727","","","","","","1","","","","","","1","","","","","","1"
"309.2567926","2556.02304702","3156.33126302","5096.84905702","3073.83462202","2021.87364602","3180.98232702","14399.77294302","16386.85319302","16773.33278302","7052.56701502","11286.63143302","13179.831473420001","4337.478002020001","6166.07500602","6406.44104502","4023.08478602","6783.54170602","5543.324109020001"
"229.6149417","8131.810855","2931.685503","6169.43457","5112.460309","5897.993825","5648.6770124","15132.42152","17552.78209","18090.27778","14685.89686","15922.25071","16276.725792000001","5323.123361","6967.225249","5261.940877","5052.242055","9068.968008","6334.69991"
"522.2837281","33015.18889","48458.35702","54593.91408","22810.88086","38990.86526999999","39573.841223999996","80891.20061","27465.13403","34466.32364999999","60267.40866","96534.65080999999","59924.943552000004","12092.47899","30774.45282","17580.34204","6907.201490000003","43996.84582999999","22270.264234"
"209.1294133","","","","","","1","","","","","","1","","","","","","1"
"181.1254883","180916.56956","190641.75616","149586.31036","141804.67256","155612.31826","163712.32538","261698.73906","275689.78196","255386.56606","233213.39496","243662.30556","253930.15751999998","141306.53486","197483.60386","142667.39566","162475.91286","195741.94356","167935.07816000003"
"227.0841815","","","","","","1","","","","","","1","","","","","","1"
